genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.12G086200.v2.1	6.21369160359019	6.53676223228324	7.0733107589933	6.1124735339067	6.34208151432151	6.55019127785766	6.0704153880714	6.45293706626717	6.65641228764753
GmISU01.12G086600.v2.1	1.70100136620478	1.8792178990583	2.48453710804054	3.74698833912404	3.02049527917325	2.21961270304365	3.57691059520499	3.13357285099823	2.60042651607653
GmISU01.12G087100.v2.1	1.70100136620478	3.19894737174636	4.5513602278674	2.44894449249177	2.44877368660308	3.46190080468142	3.57691059520499	4.13214903598646	3.60660785791751
GmISU01.12G088100.v2.1	1.70100136620478	0.562771745184491	3.0605390878773	1.79436785569481	1.48778251912831	0.562771745184491	1.57086804721782	0.562771745184489	0.562771745184489
GmISU01.12G088700.v2.1	5.34015808117011	3.98074176921072	5.81770033189899	5.56322829318612	5.32098185709345	6.09316448322101	6.30653661989883	5.90373060208286	6.33975591169091
GmISU01.12G089000.v2.1	5.86419260506329	5.6728287119842	5.31922919428145	6.60096183481835	6.08429118944875	5.66607728497155	6.25102962359906	5.50050948978067	5.1341869021062
GmISU01.12G089600.v2.1	6.40705830037817	6.41176278490953	7.38911915747868	6.79456229252282	6.69616631710033	6.73384545792769	7.13333718506129	6.18995968506554	6.39322890368538
GmISU01.12G090066.v2.1	5.27554677598027	3.64216568301354	4.5513602278674	7.97962475619746	6.11224437939547	6.50037710269708	6.13316633139149	6.92100688824786	6.87891111251478
GmISU01.12G090132.v2.1	2.76544728414175	1.8792178990583	2.48453710804054	1.79436785569481	1.48778251912831	1.61701352510528	3.38397835004588	1.55429159996985	1.58798380713049
GmISU01.12G090200.v2.1	3.96996950005849	3.87646909737378	4.16630386463631	4.41902688371487	3.02049527917325	2.21961270304365	4.57791523056423	4.35433794042109	4.69733248361251
GmISU01.12G090800.v2.1	3.3712675132226	1.8792178990583	1.51108951230996	1.79436785569481	2.44877368660308	0.562771745184491	2.89763220347562	1.55429159996985	3.60660785791751
GmISU01.12G091400.v2.1	2.76544728414175	3.01472281386774	3.92681369985491	4.12179011207515	3.5965625090272	2.21961270304365	3.89924062819051	2.87110757795101	2.92483032674013
GmISU01.12G092100.v2.1	7.14604250919435	6.74357383919869	6.43649939917657	6.87019031763883	7.0102690924937	6.55019127785766	6.8641155069888	7.05374397579982	6.96971550259834
GmISU01.12G093500.v2.1	4.61713384103015	6.44859556457332	6.41344371480924	3.74698833912404	4.58761205186463	4.83349884203926	3.74705890941538	3.86939950559177	4.5163740411061
GmISU01.12G094900.v2.1	2.32924607730979	1.8792178990583	3.79029597792084	2.44894449249177	2.04685667612768	3.23703637648904	2.15851924980558	2.87110757795101	4.41660384043937
GmISU01.12G095200.v2.1	6.49481817392072	6.4666652177075	5.10570529792172	6.30645880606859	6.60073124436842	5.95205660537171	5.7483980606186	6.45293706626717	5.93346202800073
GmISU01.12G096200.v2.1	3.09992616690293	3.98074176921072	2.0784048195632	2.44894449249177	3.02049527917325	2.21961270304365	2.89763220347562	2.87110757795101	2.92483032674013
GmISU01.12G096300.v2.1	2.32924607730979	1.366213121777	0.562771745184489	0.562771745184491	1.48778251912831	0.562771745184491	2.57489922328341	2.13641627239693	1.58798380713049
GmISU01.12G097700.v2.1	3.09992616690293	1.366213121777	2.48453710804054	2.44894449249177	1.48778251912831	2.21961270304365	3.57691059520499	4.86854471046386	3.60660785791751
GmISU01.12G098100.v2.1	3.79662187458695	3.76406872895644	2.0784048195632	3.5153536068858	3.23908215540387	4.98607453445301	5.57841728602006	4.00674764971195	5.31131150465146
